id	lei	artigo	chunkIndex	cnaeGroups	titulo_short	conteudo_short
1	lc214	Art. 1	0	49,50,51,52,53,55,56,58,59,60,61,62,63,64,65,66,68,69,70,71,72,73,74,75,77,78,79,80,81,82,84,85,86,87,88,90,91,92,93,94,95,96	Artigo 1 — LC214	Art. 1º Ficam instituídos:
I - o Imposto sobre Bens e Serviços (IBS), de competência compartilhada e
2	lc214	Art. 2	0	01,02,03,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,36,37,38,39,41,42,43,45,46,47,49,50,51,52,53,55,56,58,59,60,61,62,63,64,65,66,68,69,70,71,72,73,74,75,77,78,79,80,81,82,84,85,86,87,88,90,91,92,93,94,95,96	O IBS e a CBS são informados pelo princípio da neutralidade, segundo o qual esse	Art. 2º O IBS e a CBS são informados pelo princípio da neutralidade, segundo o qual esses tributos d
3	lc214	Art. 3	0	64,65,66	Para fins desta Lei Complementar, consideram-se:	Art. 3º Para fins desta Lei Complementar, consideram-se:
I - operações com:
a) bens todas e quaisque
4	lc214	Art. 4	0	68,41,42,43	O IBS e a CBS incidem sobre operações onerosas com bens ou com serviços.	Art. 4º O IBS e a CBS incidem sobre operações onerosas com bens ou com serviços.
§ 1º As operações n
5	lc214	Art. 5	0	64,65,66	O IBS e a CBS também incidem sobre as seguintes operações:	Art. 5º O IBS e a CBS também incidem sobre as seguintes operações:
I - fornecimento não oneroso ou a
6	lc214	Art. 5 (parte 2)	1	64,65,66	O IBS e a CBS também incidem sobre as seguintes operações:	III - as entidades incluídas nas demonstrações financeiras consolidadas ou que seriam incluídas caso
7	lc214	Art. 5 (parte 3)	2	64,65,66	O IBS e a CBS também incidem sobre as seguintes operações:	ou
III - detiver ou exercer o poder de administrar ou gerenciar, de forma direta ou indireta, as ati
8	lc214	Art. 6	0	64,65,66	O IBS e a CBS não incidem sobre:	Art. 6º O IBS e a CBS não incidem sobre:
I - fornecimento de serviços por pessoas físicas em decorrê
9	lc214	Art. 6 (parte 2)	1	64,65,66	O IBS e a CBS não incidem sobre:	VIII - doações sem contraprestação em benefício do doador; IX - transferências de recursos públicos 
10	lc214	Art. 7	0	41,42,43,68	Na hipótese de fornecimento de diferentes bens e de serviços em uma mesma operaç	Art. 7º Na hipótese de fornecimento de diferentes bens e de serviços em uma mesma operação, será obr
11	lc214	Art. 8	0	49,50,51,52,53,55,56,58,59,60,61,62,63,64,65,66,68,69,70,71,72,73,74,75,77,78,79,80,81,82,84,85,86,87,88,90,91,92,93,94,95,96	São imunes ao IBS e à CBS as exportações de bens e de serviços, nos termos do Ca	Art. 8º São imunes ao IBS e à CBS as exportações de bens e de serviços, nos termos do Capítulo V des
12	lc214	Art. 9	0	64,65,66	São imunes também ao IBS e à CBS os fornecimentos:	Art. 9º São imunes também ao IBS e à CBS os fornecimentos:
I - realizados pela União, pelos Estados,
13	lc214	Art. 9 (parte 2)	1	49,50,51,52,53,55,56,58,59,60,61,62,63,64,65,66,68,69,70,71,72,73,74,75,77,78,79,80,81,82,84,85,86,87,88,90,91,92,93,94,95,96	São imunes também ao IBS e à CBS os fornecimentos:	§ 2º Para efeitos do disposto no inciso II do caput deste artigo, considera-se:
I - entidade religio
14	lc214	Art. 10	0	35,36,37,38,39,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33	Considera-se ocorrido o fato gerador do IBS e da CBS no momento do fornecimento 	Art. 10. Considera-se ocorrido o fato gerador do IBS e da CBS no momento do fornecimento nas operaçõ
15	lc214	Art. 10 (parte 2)	1	64,65,66	Considera-se ocorrido o fato gerador do IBS e da CBS no momento do fornecimento 	as alíquotas serão aquelas vigentes na data do pagamento de cada parcela; b) as antecipações de que 
16	lc214	Art. 11	0	41,42,43,68	Considera-se local da operação com:	Art. 11. Considera-se local da operação com:
I - bem móvel material, o local da entrega ou disponibi
17	lc214	Art. 11 (parte 2)	1	41,42,43,68	Considera-se local da operação com:	§ 1º Para fins do disposto no inciso I do caput deste artigo:
I - em operação realizada de forma não
18	lc214	Art. 11 (parte 3)	2	64,65,66	Considera-se local da operação com:	e
b) para as pessoas jurídicas e entidades sem personalidade jurídica, conforme aplicável, o local d
19	lc214	Art. 11 (parte 4)	3	35,36,37,38,39,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33	Considera-se local da operação com:	§ 6º Caso a autoridade tributária constate que as informações prestadas pelo adquirente nos termos d
20	lc214	Art. 12	0	64,65,66	A base de cálculo do IBS e da CBS é o valor da operação, salvo disposição em con	Art. 12. A base de cálculo do IBS e da CBS é o valor da operação, salvo disposição em contrário prev
21	lc214	Art. 12 (parte 2)	1	64,65,66	A base de cálculo do IBS e da CBS é o valor da operação, salvo disposição em con	§ 3º Para efeitos do disposto no inciso III do § 2º deste artigo, considera-se desconto incondiciona
22	lc214	Art. 13	0	49,50,51,52,53,55,56,58,59,60,61,62,63,64,65,66,68,69,70,71,72,73,74,75,77,78,79,80,81,82,84,85,86,87,88,90,91,92,93,94,95,96	O valor da operação será arbitrado pela administração tributária quando:	Art. 13. O valor da operação será arbitrado pela administração tributária quando:
I - não forem exib
